product_id,product_name,category,brand,price,cost_price,discount_pct,rating,num_reviews,stock_quantity,reorder_point,weight_kg,sku,launch_date,is_active,is_featured,warranty_period,supplier_id,tags
382,Silicone Utensil Set,Home & Kitchen,Prestige,129.69,94.85,13.8,3.3,7375,9359,287,4.38,SKU-LBB8NMT3,2023-11-29,YES,No,1 year,SUP-1732,clearance
383,Stainless Steel Bottles Set,Home & Kitchen,OXO,51.7,37.37,9.3,3.8,7571,4758,12,22.61,SKU-X6LGOI7O,2021-08-31,Yes,No,6 Months,SUP-7927,bestseller|premium|limited
384,Microwave Oven 25L,Home & Kitchen,Butterfly,1881.48,1013.02,31.3,2.8,5430,3653,46,15.96,SKU-E6RGL7JY,2024-12-16,YES,Yes,2 years,SUP-5284,limited
385,Mixer Grinder 750W,Home & Kitchen,KitchenAid,1409.53,617.76,10.3,4.3,1511,1369,400,17.36,SKU-CPN0P1XS,2021-10-21,Yes,,6 months,SUP-6592,new|eco|clearance
386,Non-stick Cookware Set,Home & Kitchen,Inalsa,587.05,370.02,19.7,4.5,568,4026,318,13.24,SKU-UF8CYOTW,2021-09-21,yes,,6 months,SUP-1096,limited
387,Non-stick Cookware Set,Home & Kitchen,Prestige,2732.88,1989.6,29.0,2.1,5046,6336,240,22.76,SKU-IRJ9WR6Q,2024-09-28,yes,No,6 Months,SUP-7364,eco|sale
388,Bamboo Chopping Board,Home & Kitchen,Instant Pot,1881.37,889.58,18.3,4.5,3773,7410,237,23.81,SKU-QMXETIZU,2024-09-19,yes,Yes,1 Year,SUP-7140,limited|new
389,Glass Storage Containers Set,Home & Kitchen,Instant Pot,655.45,388.74,7.1,2.5,4239,7074,102,23.58,SKU-AHUG9Y1X,2023-06-13,Yes,No,No warranty,SUP-3139,eco|organic|sale|wireless
390,Instant Pot Duo 6Qt,Home & Kitchen,Philips,2705.9,1274.62,6.8,,6886,1081,195,15.6,SKU-L6QMGK2F,2024-09-29,Yes,No,Lifetime,SUP-7712,premium|bestseller|trending|eco
391,Microwave Oven 25L,Home & Kitchen,Instant Pot,2302.58$,1393.43,44.4,2.4,3612,9582,302,4.59,SKU-688U595C,2021-07-29,No,Yes,6 months,SUP-4229,premium|trending|eco
392,Induction Cooktop 2000W,Home & Kitchen,Pigeon,580.11,288.94,23.4,,4010,5219,473,4.21,SKU-XZJ9MJ9X,2023-10-22,Yes,Yes,1 year,SUP-1174,premium
393,Hand Blender 1000W,Home & Kitchen,Pigeon,1540.19$,1151.72,19.1,,1084,5672,378,6.58,SKU-GKCQY265,2024-10-23,Yes,Yes,1 Year,,trending|new|bestseller
394,Glass Storage Containers Set,Home & Kitchen,Philips,1880.25,1325.52,20.7,4.5,6439,1733,323,3.09,SKU-ZH0CD8A2,2021-12-29,Yes,Yes,No warranty,SUP-9672,clearance|new
395,Pressure Cooker 5L,Home & Kitchen,Prestige,2922.7,1438.38,39.5,3.3,1551,2031,369,19.05,SKU-G41IO4KO,2023-09-23,No,No,1 Year,SUP-4944,premium|new|trending
396,Kitchen Scale Digital,Home & Kitchen,Philips,2696.43,1499.42,44.0,3.7,2608,9636,404,22.91,SKU-NYYCJ4Q0,2023-01-17,yes,Yes,No warranty,SUP-4117,sale|eco
397,Hand Blender 1000W,Home & Kitchen,Cuisinart,1395.86,632.94,33.2,2.5,7779,401,457,3.53,SKU-L9WOA2XG,2023-07-11,Yes,No,No warranty,SUP-5438,clearance
398,Microwave Oven 25L,Home & Kitchen,OXO,1301.4,952.06,7.2,4.9,489,5789,64,1.72,SKU-LRKI72OA,2022-04-24,Yes,Yes,6 Months,SUP-2996,eco|wireless|new
399,Stainless Steel Bottles Set,Home & Kitchen,Pigeon,2730.89,1955.03,28.5,4.6,3900,4596,294,8.55,SKU-2Z682U6Z,2023-08-05,Yes,No,No warranty,SUP-6135,limited
400,3-Tier Dish Rack,Home & Kitchen,Philips,2333.41,1579.6,12.4,1.6,6944,,252,6.2,SKU-WL3RFJL9,2023-07-29,Yes,No,Lifetime,SUP-5843,organic|wireless
401,Cycling Gloves Padded,Sports & Fitness,Under Armour,80.72,50.7,34.3,1.3,3808,2418,238,15.67,SKU-TV1DJJZQ,2021-09-11,Yes,Yes,,SUP-6349,new|eco|limited
402,Resistance Bands Set 5pc,Sports & Fitness,Decathlon,2270.69,939.57,23.0,3.9,5846,2160,264,1.64,SKU-CFS7I19M,2022-10-04,yes,Yes,,SUP-7821,new|organic|trending|limited
403,Resistance Bands Set 5pc,sports & fitness,Wilson,1930.49,1243.33,21.5,1.2,6213,3811,496,3.86,SKU-5SL1YA1R,2023-11-07,YES,No,1 year,SUP-4421,sale|eco|trending|premium
404,Yoga Mat 6mm TPE,Sports & Fitness,Spalding,1671.01,967.19,7.2,1.8,4977,4198,181,4.93,SKU-6OXQQ8Y1,2021-11-14,Yes,,1 Year,SUP-4368,bestseller|premium|eco
405,Deep Tissue Foam Roller,sports & fitness,Wilson,42.02,29.01,38.7,1.8,7756,6366,378,8.22,SKU-9VFRUK94,2022-01-22,Yes,No,6 months,SUP-1819,sale|premium|clearance
406,Deep Tissue Foam Roller,Sports & Fitness,Nivia,1121.6,558.55,29.4,2.2,286,1967,164,3.59,SKU-Q796EW82,2024-09-29,no,,6 months,SUP-8458,premium|sale|clearance
407,Resistance Bands Set 5pc,Sports & Fitness,Yonex,1399.78,645.66,0.6,4.6,5378,1032,404,21.92,SKU-ZZHJY8GY,2024-06-12,Yes,Yes,1 Year,SUP-9004,premium
408,Ab Wheel Roller,Sports & Fitness,Wilson,965.53,602.26,18.3,3.3,3048,7659,187,19.19,SKU-FY6YO8DJ,2021-08-02,yes,Yes,No warranty,SUP-3691,organic|new|eco
409,Deep Tissue Foam Roller,Sports & Fitness,Nivia,1259.83,553.26,22.6,1.2,850,9428,12,6.41,SKU-T70Y2RL4,2022-08-03,YES,No,No warranty,SUP-6752,bestseller
410,Yoga Mat 6mm TPE,Sports & Fitness,Wilson,1488.13,1072.27,31.3,2.2,6191,6653,165,20.64,SKU-TD3ABEG1,2021-04-21,Yes,Yes,6 months,SUP-6857,wireless
411,Protein Shaker 700ml,Sports & Fitness,Spalding,2038.96,1512.82,22.5,2.4,2095,7759,450,19.96,SKU-11PV58Y9,2022-08-14,Yes,Yes,6 months,SUP-9908,trending|clearance
412,Knee Support Brace,Sports & Fitness,Yonex,1234.77,498.36,5.8,4.5,6396,462,488,12.68,SKU-CGJU2T0J,2021-07-02,no,No,2 years,SUP-1652,limited|trending|new
413,Badminton Racket Pair,  Sports & Fitness  ,Nivia,552.12,286.56,30.7,4.4,1873,7285,423,17.53,SKU-6DF08UPN,2023-12-22,YES,Yes,6 Months,SUP-9904,sale|premium|limited|organic
414,Protein Shaker 700ml,Sports & Fitness,Nivia,733.48,531.59,6.2,1.1,707,,105,16.63,SKU-Q9NJC2GO,2023-05-20,Yes,No,2 years,,organic
415,Tennis Racket Pro,Sports & Fitness,Cosco,2582.45,1757.17,8.5,2.9,3921,3508,60,4.35,SKU-TW4CY4F1,2023-01-13,Yes,No,6 Months,SUP-6926,
416,Ab Wheel Roller,Sports & Fitness,Nivia,2509.94,1201.39,40.8,2.9,7777,8348,465,10.19,SKU-5WISRCVP,2023-05-23,Yes,No,6 months,SUP-7443,premium|organic|eco
417,Cycling Helmet,Sports & Fitness,Wilson,1817.59,1147.54,25.8,2.9,745,8022,185,13.34,SKU-WCW75VI7,2022-05-19,Yes,No,2 years,SUP-6488,premium|wireless|limited|eco
418,Gym Duffle Bag,Sports & Fitness,Under Armour,1087.65,641.68,14.5,4.2,4765,,98,2.97,SKU-0KIVWM53,2022-08-06,Yes,Yes,2 years,SUP-8521,premium|trending
419,Deep Tissue Foam Roller,Sports & Fitness,Decathlon,1367.01,1020.88,26.3,,4648,6889,111,6.68,SKU-9WRDPLFE,2024-03-26,Yes,Yes,2 years,SUP-9769,limited
420,Sports Water Bottle 1L,Sports & Fitness,Decathlon,725.84,346.34,27.2,4.0,7600,9054,191,21.03,SKU-FTLH33HW,2021-09-07,Yes,No,2 years,SUP-3040,bestseller|wireless|clearance|premium
421,Gym Duffle Bag,Sports & Fitness,Nivia,1801.15,964.24,9.6,1.4,671,6693,374,11.13,SKU-F541A1HY,2022-11-10,yes,,Lifetime,SUP-8244,new|trending|limited
422,Gym Duffle Bag,Sports & Fitness,Under Armour,2633.8,1939.08,30.9,3.3,5287,1059,241,17.84,SKU-AUMAPQPP,2022-06-25,Yes,Yes,2 years,SUP-3761,sale|limited
423,Knee Support Brace,Sports & Fitness,Nike,1578.14,772.19,6.7,1.6,3570,4563,455,22.9,SKU-ILSIDBX2,2024-09-08,Yes,Yes,No warranty,,wireless|trending
424,Boxing Gloves 12oz,Sports & Fitness,Wilson,2171.01$,984.45,41.9,2.0,71,5332,447,4.34,SKU-J3S6OGQ4,2022-01-11,yes,No,No warranty,SUP-3869,new|sale
425,Treadmill Folding,Sports & Fitness,Wilson,1214.68,709.09,43.3,4.8,2899,9920,305,17.97,SKU-01SOSR2H,2023-07-21,yes,Yes,No warranty,SUP-5907,clearance|bestseller|sale
426,Tennis Racket Pro,Sports & Fitness,Decathlon,431.23,308.41,40.7,2.0,3270,7640,374,11.66,SKU-5QOB867K,2021-03-24,yes,Yes,6 Months,SUP-2279,
427,Gym Duffle Bag,Sports & Fitness,Wilson,2976.34,1342.56,32.0,2.1,202,8347,121,15.79,SKU-NQMWMLN2,2023-06-29,Yes,Yes,No warranty,SUP-1592,new
428,Cycling Gloves Padded,Sports & Fitness,Reebok,2745.41,1187.71,17.3,2.6,343,721,165,0.35,SKU-EPG25PU9,2021-11-24,Yes,Yes,6 months,SUP-8907,clearance|new
429,Sports Water Bottle 1L,Sports & Fitness,Cosco,2867.23,1405.89,25.1,4.6,6671,5416,333,16.64,SKU-SY4VY32I,2024-06-19,Yes,Yes,2 years,SUP-5924,sale|premium|organic|wireless
430,Boxing Gloves 12oz,Sports & Fitness,Reebok,2093.66,1208.14,18.6,2.6,4641,5426,163,2.07,SKU-FR7CL6P3,2021-08-28,YES,Yes,2 years,SUP-2937,clearance|limited|bestseller|wireless
431,Sports Water Bottle 1L,Sports & Fitness,Cosco,2560.33$,1114.33,3.7,3.9,1229,8853,229,12.34,SKU-D83X9AGE,2024-08-03,yes,Yes,,SUP-6075,wireless
432,Treadmill Folding,Sports & Fitness,Yonex,1782.14,1096.73,23.7,4.3,2330,2271,43,11.59,SKU-4F1SRIKO,2022-06-11,Yes,Yes,2 years,SUP-6020,limited|bestseller|premium|eco
433,Cycling Helmet,Sports & Fitness,Adidas,2994.69,1330.06,32.5,2.1,2725,5242,306,6.02,SKU-RO7YY0KZ,2024-10-23,no,Yes,No warranty,,limited|new|clearance
434,Pull-Up Bar Doorway,Sports & Fitness,Nivia,2874.41,1905.82,39.1,1.7,7120,2689,498,6.3,SKU-D5MBFSRK,2021-11-11,Yes,,6 months,SUP-6619,eco|sale|trending
435,Swim Goggles Anti-Fog,Sports & Fitness,Decathlon,2669.31,1996.03,27.6,3.4,3563,645,242,24.11,SKU-VK9QKAV8,2021-04-08,no,Yes,Lifetime,SUP-6163,clearance|premium
436,Cycling Gloves Padded,Sports & Fitness,Nivia,1594.57,660.46,42.8,2.8,3252,36,230,1.24,SKU-C2T67A50,2024-04-06,No,No,No warranty,SUP-4496,trending|bestseller|limited
437,Speed Jump Rope,Sports & Fitness,Cosco,2840.0,1156.57,5.8,4.0,2115,2769,346,7.34,SKU-JFP0N1K9,2023-12-11,Yes,Yes,1 Year,SUP-1054,premium
438,Knee Support Brace,Sports & Fitness,Yonex,1446.32,889.53,35.3,2.4,753,5787,100,9.73,SKU-G806W819,2021-09-10,Yes,Yes,1 Year,SUP-4181,sale|eco|limited
439,Badminton Racket Pair,Sports & Fitness,Under Armour,1452.85,879.3,31.4,4.9,6100,3715,437,16.44,SKU-6R1NXHBQ,2021-01-06,yes,Yes,2 years,SUP-7808,eco
440,Adjustable Dumbbell Set,Sports & Fitness,Spalding,1485.56,1112.16,32.7,2.4,5119,532,412,20.89,SKU-LL3K4BK8,2021-08-01,No,Yes,2 years,SUP-7750,trending|clearance|premium
441,Speed Jump Rope,Sports & Fitness,Reebok,1810.7,1263.96,16.3,1.4,2164,5468,172,22.22,SKU-GH2IJ4TT,2024-08-27,Yes,No,1 Year,SUP-5869,trending|limited|sale
442,Tennis Racket Pro,Sports & Fitness,Adidas,2834.36,1137.72,40.1,1.2,6631,5916,217,13.57,SKU-JVU2CGXU,2024-09-08,Yes,Yes,6 Months,SUP-3774,limited|sale
443,Protein Shaker 700ml,Sports & Fitness,Wilson,1292.02,794.13,17.5,4.3,2397,5640,79,10.14,SKU-V6KI4EPX,2023-02-13,Yes,Yes,1 year,SUP-3100,bestseller
444,Treadmill Folding,Sports & Fitness,Reebok,833.26,366.15,0.1,,907,225,221,2.72,SKU-HF025LOX,2023-11-23,No,Yes,1 Year,SUP-4387,bestseller|clearance
445,Resistance Bands Set 5pc,Sports & Fitness,Nike,1575.22,742.47,5.0,2.1,2321,4576,100,10.68,SKU-A2TVMXQY,2022-03-05,no,Yes,No warranty,,clearance|limited
446,Ab Wheel Roller,Sports & Fitness,Wilson,301.01,211.22,23.2,2.2,3307,332,42,14.2,SKU-5IK31YUW,2024-05-26,Yes,Yes,6 months,SUP-1320,wireless|eco|sale|bestseller
447,Cycling Gloves Padded,Sports & Fitness,Spalding,1208.85,839.75,27.1,3.3,787,6224,251,15.63,SKU-6L4M1TRP,2023-05-24,Yes,Yes,1 year,SUP-1718,organic|trending|wireless|eco
448,Ab Wheel Roller,sports & fitness,Adidas,40.03,24.24,5.4,2.1,4822,7370,467,5.27,SKU-MIE22TW1,2021-03-10,no,Yes,6 Months,SUP-1104,bestseller|limited|eco|sale
449,Ab Wheel Roller,Sports & Fitness,Cosco,1671.08,764.52,33.3,4.9,4683,349,351,6.92,SKU-GF00HHEQ,2023-10-25,no,No,6 months,SUP-4345,limited|new|trending
450,Badminton Racket Pair,Sports & Fitness,Nivia,2294.43,1087.85,6.9,,1878,2722,146,17.86,SKU-Z5T6V8VL,2022-12-05,Yes,No,Lifetime,SUP-8357,premium|eco|wireless|clearance
451,Treadmill Folding,Sports & Fitness,Wilson,277.62,167.54,35.8,1.5,440,3764,387,17.52,SKU-8ER6U0ES,2023-04-18,Yes,No,6 months,SUP-9907,organic|wireless
452,Badminton Racket Pair,Sports & Fitness,Nike,2551.48,1203.93,36.1,1.9,5212,1464,275,3.74,SKU-PPWC1QY9,2022-06-09,Yes,Yes,,SUP-1396,trending
453,Deep Tissue Foam Roller,Sports & Fitness,Yonex,299.29,201.8,24.3,2.5,6450,9910,23,17.99,SKU-9LY2SKKF,2023-04-28,Yes,No,Lifetime,SUP-9046,new
454,Protein Shaker 700ml,Sports & Fitness,Nike,1404.6,583.54,2.2,3.6,7256,4024,203,8.67,SKU-MNSTOUIF,2022-02-23,Yes,Yes,6 months,SUP-3789,sale|organic|wireless|eco
455,Boxing Gloves 12oz,Sports & Fitness,Spalding,2996.23,2008.46,35.0,4.8,7013,8615,104,3.19,SKU-C275JT66,2024-02-22,Yes,Yes,2 years,SUP-3907,clearance|bestseller|organic|wireless
456,Speed Jump Rope,Sports & Fitness,Reebok,1859.13,935.71,7.7,3.3,5484,5038,218,7.47,SKU-A51E04PD,2024-04-24,No,Yes,6 months,SUP-5777,new|eco|organic|limited
457,Ab Wheel Roller,Sports & Fitness,Cosco,564.93,263.87,38.9,3.9,5477,1386,250,9.46,SKU-OKKU3S71,2024-02-10,Yes,Yes,6 Months,SUP-3923,eco|new|clearance
458,Resistance Bands Set 5pc,Sports & Fitness,Decathlon,2749.88,1301.05,34.4,,6787,8621,141,14.7,SKU-5E033DZQ,2022-12-26,Yes,,1 year,SUP-2497,clearance|bestseller
459,Resistance Bands Set 5pc,Sports & Fitness,Adidas,2754.8,1691.88,22.7,4.0,2682,6378,58,11.57,SKU-SOT56AG3,2024-06-13,Yes,No,1 Year,SUP-3095,bestseller
460,Sports Water Bottle 1L,Sports & Fitness,Adidas,2724.27,1963.75,39.7,3.7,3209,6027,322,19.81,SKU-ECLCES1K,2023-04-18,No,No,Lifetime,SUP-1432,bestseller|new|organic|trending
461,Skipping Rope Digital Counter,Sports & Fitness,Adidas,2801.66,1802.58,38.6,2.2,4257,8783,218,23.52,SKU-BNA2I7P8,2024-03-01,Yes,No,6 months,SUP-7988,sale
462,Treadmill Folding,Sports & Fitness,Spalding,2614.35$,1070.69,6.9,2.8,2624,3487,61,23.82,SKU-1JMBPTPD,2023-09-01,no,Yes,6 Months,SUP-4454,premium|sale|trending
463,Deep Tissue Foam Roller,Sports & Fitness,Cosco,1433.28,907.96,24.8,4.6,1118,6675,33,5.34,SKU-XWEDNYA3,2023-02-28,yes,No,6 months,SUP-5681,clearance
464,Sports Water Bottle 1L,Sports & Fitness,Nivia,1720.28,914.42,35.1,2.2,4527,9906,398,15.03,SKU-0Y9Q6KTN,2022-08-20,Yes,No,6 months,SUP-9199,new|bestseller
465,Skipping Rope Digital Counter,Sports & Fitness,Nivia,2882.08,1208.08,28.0,1.1,4570,7749,89,9.98,SKU-E19BP0L7,2024-01-31,Yes,No,2 years,SUP-6927,organic|sale
466,Adjustable Dumbbell Set,Sports & Fitness,Reebok,1700.97,938.85,1.3,4.2,6423,2412,217,14.78,SKU-MYPJ2NNO,2021-04-24,Yes,Yes,1 Year,SUP-3387,wireless|eco|trending
467,Gym Duffle Bag,Sports & Fitness,Wilson,2697.49,1885.88,37.5,1.7,6163,3665,10,0.21,SKU-4PO5CB41,2023-02-22,Yes,Yes,1 year,SUP-6486,sale
468,Sports Water Bottle 1L,Sports & Fitness,Adidas,967.57,540.48,34.8,4.5,4274,3209,456,14.58,SKU-POF0HKAR,2022-11-19,No,Yes,6 Months,SUP-3289,new|wireless|eco|sale
469,Treadmill Folding,Sports & Fitness,Nike,1698.44$,1233.7,3.0,4.1,186,6509,489,13.12,SKU-TCHHI78L,2024-01-16,Yes,No,No warranty,SUP-9924,sale|bestseller|new|eco
470,Running Shoes Lightweight,Sports & Fitness,Wilson,956.68,539.29,24.6,4.9,3080,1986,107,5.5,SKU-CYKJB85L,2021-08-07,YES,Yes,1 Year,SUP-5512,bestseller
471,Tennis Racket Pro,Sports & Fitness,Yonex,1501.48,870.39,41.2,1.3,6831,2645,337,2.35,SKU-R3TGWJ7P,2023-06-09,yes,Yes,6 Months,SUP-4831,organic|bestseller
472,Yoga Mat 6mm TPE,Sports & Fitness,Cosco,2252.06,1657.33,1.0,4.1,4821,8922,378,15.93,SKU-O7ERC4R6,2023-03-17,Yes,Yes,6 months,SUP-3353,new|bestseller
473,Ab Wheel Roller,Sports & Fitness,Nike,1619.53,901.35,4.7,2.1,4664,2463,385,1.87,SKU-X7CULOQV,2021-03-03,No,No,Lifetime,SUP-9957,new|sale
474,Knee Support Brace,Sports & Fitness,Nivia,1796.68,1153.45,22.8,2.2,1064,4884,461,15.16,SKU-4VTCDMWS,2024-06-12,Yes,Yes,1 year,SUP-9912,clearance|bestseller|new|sale
475,Boxing Gloves 12oz,Sports & Fitness,Yonex,1479.95,872.71,38.6,3.3,3575,8287,264,17.98,SKU-F4LUR02T,2023-11-25,Yes,Yes,6 Months,SUP-4890,sale|eco|limited
476,Adjustable Dumbbell Set,Sports & Fitness,Reebok,1627.6,1094.45,15.4,2.5,2057,2990,488,13.11,SKU-QOF3WGI8,2023-11-28,No,Yes,1 year,SUP-4187,eco
477,Pull-Up Bar Doorway,Sports & Fitness,Yonex,2835.35,1520.25,43.6,,7750,9652,123,21.71,SKU-IT2NI9SU,2022-08-31,yes,,6 Months,SUP-5306,sale|eco|clearance
478,Sports Water Bottle 1L,Sports & Fitness,Adidas,2682.13,1846.69,3.4,4.3,7486,7884,316,12.13,SKU-BSZUJB4H,2022-04-23,Yes,Yes,6 months,SUP-6370,new|eco
479,Adjustable Dumbbell Set,Sports & Fitness,Under Armour,1344.74,687.25,0.7,3.5,7804,2452,366,21.61,SKU-2K1D1GNT,2021-07-09,no,No,6 Months,,new|bestseller|eco
480,Skipping Rope Digital Counter,Sports & Fitness,Nivia,976.74,654.93,22.8,4.2,3684,8829,236,7.02,SKU-5EZS96KW,2024-02-13,YES,Yes,2 years,SUP-5719,premium|trending
481,Yoga Mat 6mm TPE,  Sports & Fitness  ,Nike,2405.86,1276.01,10.3,3.6,1901,1191,500,5.95,SKU-X39ELLHL,2023-01-17,Yes,No,6 Months,SUP-3984,premium|wireless|limited
482,Running Shoes Lightweight,Sports & Fitness,Nivia,1913.78,1060.95,42.7,3.6,1226,104,76,9.19,SKU-S0GNH8S2,2021-09-26,Yes,No,6 months,SUP-3346,premium
483,Skipping Rope Digital Counter,Sports & Fitness,Decathlon,615.85,365.48,15.5,3.1,6282,7727,216,12.99,SKU-DQ26RL0N,2023-09-03,No,Yes,1 year,SUP-1535,organic
484,Running Shoes Lightweight,Sports & Fitness,Adidas,1650.38,765.08,19.8,1.5,3840,2876,42,11.46,SKU-HPZHUUG4,2021-02-15,yes,No,Lifetime,SUP-4507,trending|limited
485,Knee Support Brace,Sports & Fitness,Reebok,503.86,316.76,31.6,,4731,8850,114,8.04,SKU-7JE0Q0RF,2022-09-03,No,No,Lifetime,SUP-5159,wireless|trending|new|bestseller
486,Boxing Gloves 12oz,Sports & Fitness,Adidas,996.67,631.24,26.8,4.0,7460,8154,378,2.86,SKU-R6LUU6IF,2024-06-15,Yes,No,No warranty,SUP-1889,sale|wireless
487,Swim Goggles Anti-Fog,Sports & Fitness,Wilson,1708.92,892.5,9.5,4.0,5774,6098,351,12.88,SKU-GWOC4191,2021-11-10,Yes,Yes,1 year,SUP-2343,trending|clearance|wireless
488,Speed Jump Rope,Sports & Fitness,Nike,1930.52,885.37,41.7,4.8,6138,5705,349,0.65,SKU-KRX0GWHA,2022-10-08,no,Yes,Lifetime,SUP-2886,new
489,Boxing Gloves 12oz,Sports & Fitness,Nivia,1982.25,830.02,27.3,4.0,731,1899,67,9.6,SKU-D6BWBEM0,2023-04-03,no,No,Lifetime,,limited|wireless
490,Gym Duffle Bag,Sports & Fitness,Wilson,2294.26,1144.18,4.5,2.1,6470,9148,359,9.9,SKU-S74ULEVN,2021-01-27,Yes,Yes,2 years,SUP-2081,bestseller
491,Yoga Mat 6mm TPE,Sports & Fitness,Adidas,1363.93,613.3,8.6,4.7,4503,5351,286,9.2,SKU-L7HA752A,2023-01-19,Yes,Yes,Lifetime,SUP-4781,sale|new|wireless
492,Skipping Rope Digital Counter,Sports & Fitness,Under Armour,2580.73,1511.96,42.5,1.4,2616,4277,497,21.61,SKU-3YXHZKIE,2023-08-16,yes,Yes,Lifetime,SUP-8396,wireless|trending|eco
493,Badminton Racket Pair,Sports & Fitness,Under Armour,2525.53,1131.19,36.5,2.8,22,1811,32,13.9,SKU-12SBA62T,2021-06-05,no,Yes,6 months,SUP-7943,organic
494,Adjustable Dumbbell Set,Sports & Fitness,Cosco,1393.05,652.53,1.9,2.8,2019,882,246,17.83,SKU-L83K88RH,2022-09-15,Yes,Yes,,SUP-8128,clearance|limited|organic
495,Deep Tissue Foam Roller,Sports & Fitness,Spalding,2468.64,1781.89,19.8,2.0,3583,6449,233,20.59,SKU-CVS3ZRB9,2022-09-19,YES,Yes,2 years,SUP-1408,sale
496,Cycling Gloves Padded,Sports & Fitness,Spalding,2305.98,1367.94,36.9,3.3,5733,4416,303,0.13,SKU-I9C2BVS3,2022-04-08,no,Yes,Lifetime,SUP-4664,clearance|wireless
497,Skipping Rope Digital Counter,Sports & Fitness,Nivia,449.58,256.14,42.9,2.9,4677,4360,137,5.87,SKU-GLG08YVU,2024-11-17,Yes,No,,SUP-5327,
498,Skipping Rope Digital Counter,Sports & Fitness,Nike,1983.96,1251.37,28.4,3.6,2125,1557,445,23.28,SKU-772IY1UV,2024-10-06,no,No,6 months,SUP-1367,organic|sale|trending
499,Adjustable Dumbbell Set,Sports & Fitness,Yonex,2650.91,1544.64,33.2,1.9,3607,8304,201,10.97,SKU-AG3JBRRD,2024-08-01,Yes,No,6 months,SUP-7606,new
500,Skipping Rope Digital Counter,Sports & Fitness,Wilson,455.56,298.01,17.6,4.8,5490,7817,350,15.9,SKU-JVIE6DUE,2022-10-26,Yes,Yes,6 Months,SUP-8987,eco|limited
501,Retinol Night Cream,Beauty & Personal Care,Lakme,140.28,85.8,19.0,3.6,6841,9991,202,9.62,SKU-IJWAQLCA,2023-05-22,yes,Yes,1 year,SUP-6825,limited|premium
502,Beard Growth Oil 30ml,Beauty & Personal Care,Biotique,1600.45,921.27,27.6,,1126,4235,212,12.01,SKU-91QUPWCK,2021-11-30,Yes,No,6 Months,SUP-3674,limited|trending
503,Beard Growth Oil 30ml,Beauty & Personal Care,L'Oreal,967.05,559.79,18.0,4.1,5737,359,475,4.18,SKU-6KKFEDLB,2021-10-28,No,,Lifetime,SUP-2035,trending|organic|new|eco
504,SPF50 Sunscreen Gel,Beauty & Personal Care,Cetaphil,1655.7,718.43,3.6,2.1,4235,1713,413,5.7,SKU-LGONJPXW,2024-11-22,Yes,No,Lifetime,SUP-6105,wireless|premium|trending|new
505,Mascara Waterproof,Beauty & Personal Care,Lakme,,857.9,30.9,,2959,4036,366,23.22,SKU-6BERP0IV,2024-03-15,YES,No,1 year,SUP-3060,eco|wireless|sale
506,Compact Powder,Beauty & Personal Care,Biotique,899.65,665.69,11.3,1.2,7540,6165,202,17.08,SKU-J65WPOLP,2021-09-09,Yes,Yes,1 Year,SUP-8259,wireless
507,Conditioner Deep Repair,beauty & personal care,MAC,396.91,277.82,16.6,4.2,7175,6246,411,3.31,SKU-W1MKDWVM,2024-12-08,Yes,Yes,6 Months,SUP-4059,premium|new
508,Shampoo Anti-Hairfall,Beauty & Personal Care,Biotique,2292.61,1409.14,17.6,1.4,1448,4602,373,24.59,SKU-D643J2X9,2021-01-10,Yes,Yes,Lifetime,SUP-8883,bestseller|trending
509,SPF50 Sunscreen Gel,Beauty & Personal Care,Biotique,2982.68,1619.57,11.8,1.7,6651,6963,48,3.72,SKU-DFHJ05MP,2023-12-18,YES,,Lifetime,SUP-3765,organic|new|premium
510,Charcoal Face Wash,Beauty & Personal Care,The Ordinary,2939.95,1452.11,1.4,4.8,2084,5005,344,9.22,SKU-XMFH5E8F,2024-01-13,no,Yes,Lifetime,SUP-9048,clearance
511,Eye Shadow Palette 20 Colors,Beauty & Personal Care,Himalaya,578.93,400.28,24.3,,6714,1192,469,11.89,SKU-ZXC4VNIB,2022-05-27,Yes,Yes,1 Year,SUP-6324,premium|bestseller
512,Matte Lipstick Set 12,Beauty & Personal Care,Neutrogena,2618.4,1451.09,22.7,3.1,548,6962,186,24.72,SKU-KJYMJBT3,2024-09-27,yes,Yes,Lifetime,,bestseller|trending|new
513,Retinol Night Cream,Beauty & Personal Care,MAC,1279.63,774.45,23.2,1.6,7264,9811,41,7.69,SKU-9RZ4D4YJ,2021-12-28,Yes,Yes,Lifetime,SUP-7247,premium|new
514,Beard Growth Oil 30ml,Beauty & Personal Care,Forest Essentials,314.09,232.91,44.3,3.6,4095,492,210,23.0,SKU-F5HG57ZU,2021-11-26,Yes,No,1 Year,SUP-4032,sale
515,SPF50 Sunscreen Gel,Beauty & Personal Care,Neutrogena,1792.62,1261.54,41.4,3.7,5856,6328,72,0.33,SKU-DKN2K7IT,2024-12-13,yes,No,6 months,SUP-1776,limited|organic|new
516,Matte Lipstick Set 12,BEAUTY & PERSONAL CARE,L'Oreal,,1646.83,20.6,4.0,7503,2988,11,9.28,SKU-378VPCAY,2022-11-09,YES,Yes,6 months,SUP-7438,trending|wireless|bestseller
517,Retinol Night Cream,Beauty & Personal Care,MAC,2749.34,1358.46,27.8,1.2,5039,246,198,19.34,SKU-1PTKFTUW,2021-09-05,YES,No,6 months,SUP-9846,clearance
